name,address,price_range,enbloc,lat,lng,valid postal,distToMrt,distToSch
Chen Fang Mansions,"26 Lorong 33 Geylang, singapore 387986",null,60%-79%,1.315382218,103.8879365,99,,
Cherry Gardens,"61 Lorong Lew Lian, singapore 536491","S$ 980,000
  -
  S$ 980,000",40%-59%,1.350028796,103.8787264,99,,
Cherryhill,"21 Lorong Lew Lian, singapore 536467","S$ 1,500,000
  -
  S$ 1,500,000",60%-79%,1.350484759,103.8777433,99,,
Chester Park,"1 Lorong Sarhad, singapore 119129",null,null,1.281217403,103.7872764,99,,
Chestnut Ville,"2 - 60 Jalan Pakis, singapore 678595",null,>80%,1.367856037,103.7690764,99,,
Chiku Mansions,"188 Joo Chiat Place, singapore 427900",null,>80%,1.313991047,103.9054742,99,,
Chiverton,"50 Ewe Boon Road, singapore 259343",null,40%-59%,1.317366275,103.829151,99,,
Choon Sing Garden,"97 Jalan Binchang, singapore 578568",null,null,1.353510181,103.8474406,99,,
Chuan Park,"240 Lorong Chuan, singapore 556743",null,60%-79%,1.351972851,103.8636583,99,,
Chuan Vista II,"29 Chuan Drive, singapore 554811",null,null,1.35968608,103.867351,99,,
Chwee Chian Garden,"53 Chwee Chian Garden, singapore 119760",null,null,undefined,undefined,0,,
Citadines Balestier,"207 Balestier Road, singapore 329683",null,null,1.320953961,103.8523013,99,,
City Mansion,"71 - 73 Paterson Road, singapore 238544",null,null,1.300679685,103.8297138,99,,
City Towers,"317 Bukit Timah Road, singapore 259711",null,>80%,undefined,undefined,0,,
City Towers enbloc (Perfect 10),"317 Bukit Timah Road, singapore 259711",null,null,undefined,undefined,0,,
Cityscape at Farrer Park,"101 Mergui Road, singapore 219067","S$ 1,600,000
  -
  S$ 4,810,500",null,1.318021994,103.8515937,1,,
CITYVALE,"70 Sophia Road, singapore 228153",null,40%-59%,1.302045845,103.848101,1,,
Clavon,"Clementi Avenue 1, singapore 120403",null,null,undefined,undefined,0,,
Cliveden at Grange,"100 Grange Road, singapore 249591",null,<20%,1.299446442,103.8267922,1,,
Clover By The Park,"2 Bishan Street 25, singapore 573973","S$ 1,830,000
  -
  S$ 2,850,000",<20%,1.359242486,103.8453776,1,,
Cluny Park Residence,"99 Cluny Park Road, singapore 257496","S$ 2,850,000
  -
  S$ 3,300,000",<20%,1.321936082,103.8138709,1,,
Clydesview,"16A Jervois Lane, singapore 159192","S$ 4,100,000
  -
  S$ 4,100,000",>80%,1.294092228,103.8181076,1,,
Clydeswood,"2 Daisy Road, singapore 359425",null,>80%,1.344402677,103.8662765,1,,
Coastal Breeze Residences,"8 Loyang Besar Close, singapore 509049","S$ 1,100,000
  -
  S$ 1,600,000",<20%,1.378167404,103.9572482,1,,
Coastarina,"510 East Coast Road, singapore 459135",null,20%-39%,1.30955906,103.9183486,1,,
Coastline Residences,"9 Amber Road, singapore 439854","S$ 950,000
  -
  S$ 3,072,000",null,1.298974745,103.8990382,1,,
Coco Palms,"21 Pasir Ris Grove, singapore 518070","S$ 699,000
  -
  S$ 2,500,000",null,1.37191999,103.9467702,1,,
Commonwealth Towers,"0 Commonwealth Avenue, singapore 000000","S$ 898,000
  -
  S$ 2,850,000",null,undefined,undefined,0,,
Compass Green,"100 100 – 104 Tanah Merah Besar Road, singapore 498839",null,null,1.359795258,103.9749136,1,,
Concorde Residences,"368 Thomson Road, singapore 298127",null,null,1.327091332,103.8419786,1,,
Concourse Skyline,"298 Beach Road, singapore 199554","S$ 1,380,000
  -
  S$ 48,000,000",<20%,1.300266899,103.8618656,2,,
CONDOMINIUMS (11) - new - 5 storey,"11 Mattar Road, singapore 387720",null,null,1.325553614,103.8820414,1,,
CONDOMINIUMS (21) - new - 13 storey (33 DEVONSHIRE),"33 Devonshire Road, singapore 239852",null,null,1.29842643,103.8374573,1,,
CONDOMINIUMS (35) - new - 5 storey (FORMER KOVAN LODGE),"51A Kovan Road, singapore 548135",null,null,undefined,undefined,0,,
Cooliv Service Apartment,"5 Pasir Panjang Rd, singapore 118494",null,null,1.271028377,103.7971685,1,,
Coralis,"530 Joo Chiat Road, singapore 427710","S$ 950,000
  -
  S$ 1,880,000",<20%,1.304508831,103.9054509,1,,
Corals at Keppel Bay,"1 Keppel Bay Drive, singapore 098012","S$ 1,399,000
  -
  S$ 17,800,000",<20%,1.264890108,103.8164541,1,,
Corona Court,"6 - 18A Jalan Haji Alias, singapore 268507",null,null,1.322513736,103.7957543,1,,
Corona Ville,"35 Jalan Haji Alias, singapore 268535",null,>80%,1.322527841,103.7950446,1,,
Coronation Grove,", singapore 269267",null,>80%,1.320044244,103.7943975,1,,
Coronation Village,"108A Coronation Road, singapore 269510",null,null,1.323247869,103.8038339,1,,
Coronation Ville,"73 Coronation Road, singapore 269470",null,null,1.321815936,103.8050615,1,,
Cosmo,"18 Guillemard Crescent, singapore 399914","S$ 1,100,000
  -
  S$ 1,200,000",null,1.30957644,103.8810396,1,,
Costa Rhu,"1 Rhu Cross, singapore 437431","S$ 1,330,000
  -
  S$ 3,690,000",<20%,1.296609744,103.8670692,1,,
Cosy 23,"23 Lorong 30 Geylang, singapore 398355",null,60%-79%,1.312577657,103.8864923,1,,
Cosy Lodge,"29 Lorong 31 Geylang, singapore 388029",null,60%-79%,1.315194965,103.886574,1,,
Country Esquire,"20 Lorong Puntong, singapore 576438",null,>80%,1.36002617,103.8311117,1,,
Country Grandeur,"22 Lorong Puntong, singapore 576439",null,60%-79%,1.360561294,103.8313226,1,,
Countryview,"577C Sembawang Place, singapore 757766",null,null,1.437950911,103.8247546,1,,
Cradels,"10 Lorong Limau, singapore 328754","S$ 700,000
  -
  S$ 1,084,800",<20%,1.324671465,103.8539103,1,,
Cree Court,"83 Dalvey Road, singapore 259495",null,null,1.315745014,103.8240761,1,,
Crescendo Park,"6 Jalan Tua Kong, singapore 457269","S$ 1,200,000
  -
  S$ 1,880,000",null,1.313388863,103.9263578,1,,
Crystal Dew,"10 Geylang East Avenue 1, singapore 389781",null,40%-59%,1.316014588,103.8853059,1,,
Crystal Mansions,"3 Lorong 6 Geylang, singapore 399165",null,>80%,1.31115203,103.8766748,1,,
Cube 8,"376 Thomson Road, singapore 298130","S$ 950,000
  -
  S$ 2,850,000",<20%,1.328363609,103.8414184,1,,
Culford Gardens,"169 Upper East Coast Road, singapore 455272",null,null,undefined,undefined,0,,
Cuscaden Reserve,"8 Cuscaden Road, singapore 249732","S$ 2,200,000
  -
  S$ 7,657,000",null,1.303610112,103.8251672,1,,
Cyan,"6 Keng Chin Road, singapore 258709","S$ 1,399,000
  -
  S$ 11,228,247",<20%,1.31826158,103.830353,1,,
D' Almira,"33 Sommerville Road, singapore 358262","S$ 820,000
  -
  S$ 820,000",20%-39%,1.344905495,103.8679423,1,,
D' Chateau @ Shelford,"25 Shelford Road, singapore 288415","S$ 3,300,000
  -
  S$ 3,680,000",null,1.328096148,103.8119883,1,,
D'Cambridge,"1 Flora Drive, singapore 507009","S$ 1,125,000
  -
  S$ 1,300,000",20%-39%,1.359418099,103.9653939,1,,
D'Casita,"12 Dairy Farm Lane, singapore 677615",null,null,1.366374835,103.7750825,1,,
D'Castilia,"3 Daisy Road, singapore 359426",null,null,1.34443843,103.8675267,1,,
D'Ecosia,"34 Dakota Crescent, singapore 399936","S$ 1,650,000
  -
  S$ 3,500,000",40%-59%,1.306372709,103.8870855,1,,
D'Grove Villas,"28 Dalvey Estate, singapore 259548",null,>80%,1.321025699,103.8221728,1,,
D'hiro@Hillside,"101 Dalvey Road Singapore, singapore 259514","S$ 5,235,000
  -
  S$ 18,000,000",20%-39%,1.316262714,103.8251896,1,,
d'Leedon (Former Farrer Court),"10 Dalvey Estate, singapore 259527",null,null,1.316359418,103.8210947,1,,
D'Lotus,"32 Jalan Datoh, singapore 329420",null,20%-39%,undefined,undefined,0,,
D'Marine,"60 Cambridge Road, singapore 219757",null,null,1.314479863,103.8484992,1,,
D'Mira,"38 Lorong Marzuki, singapore 417104","S$ 5,580,000
  -
  S$ 5,580,000",<20%,1.321896028,103.9093527,1,,
D'Nest,"45 Joo Chiat Lane, singapore 428104",null,null,1.312974209,103.9032532,1,,
D'Oasia,"22 Jalan Datoh, singapore 329417",null,20%-39%,undefined,undefined,0,,
D'Sunrise,"86A Lor N Telok Kurau, singapore 425236",null,20%-39%,1.310057837,103.9154831,1,,
D'Weave,"20 Martaban Road, singapore 328644","S$ 1,190,000
  -
  S$ 1,299,000",<20%,1.324082891,103.8506293,1,,
D'Zire,"27 Still Road South, singapore 423936","S$ 999,999
  -
  S$ 999,999",<20%,1.306440823,103.9100624,1,,
Dahlia Park Condo,"16 Lorong 33 Geylang, singapore 387982",null,null,1.315141475,103.8880428,1,,
Dairy Farm Residences,"30 Kampong Eunos, singapore 416541","S$ 2,400,000
  -
  S$ 2,400,000",null,undefined,undefined,0,,
Daisy Lodge,"5 Derbyshire Road, singapore 309461",null,>80%,1.316277368,103.845724,1,,
Dakota Residences,"3 Derbyshire Road, singapore 309459","S$ 2,099,999
  -
  S$ 2,099,999",<20%,1.316123412,103.8455188,1,,
Dalvey Court,"8 Devonshire Road, singapore 239845",null,>80%,1.297872823,103.8381409,1,,
Dalvey Haus,"55 Devonshire Road, singapore 239855","S$ 1,180,000
  -
  S$ 2,190,000",null,1.298846472,103.837352,1,,
Dalvey Villas,"8A Orange Grove Road, singapore 258343",null,null,1.309133475,103.8277261,1,,
Datoh Court,"61 Hillside Drive, singapore 549010","S$ 820,000
  -
  S$ 1,060,000",null,1.360016032,103.8747713,1,,
De Angelo,"Jalan Rajah, singapore 329137",null,null,1.32761026,103.8476058,1,,
De Casalle,"13 Leedon Heights, singapore 266224","S$ 1,118,000
  -
  S$ 9,600,000",60%-79%,1.315910242,103.8037644,1,,
De Paradiso,"10 Lorong Ampas, singapore 328784","S$ 838,000
  -
  S$ 850,000",40%-59%,1.326118368,103.853496,1,,
Delight Court,"521 Joo Chiat Road, singapore 427701",null,>80%,1.305043317,103.9060943,1,,
Deng Fu Ville,"31 Boon Teck Road, singapore 329602","S$ 1,450,000
  -
  S$ 2,350,000",20%-39%,1.327518386,103.849854,1,,
Derby Court,"131 Pasir Ris Grove, singapore 518130","S$ 640,000
  -
  S$ 2,480,000",>80%,1.369831811,103.9464416,1,,
Derbyshire Heights,"11 Lorong Melayu, singapore 416905","S$ 1,260,000
  -
  S$ 1,290,000",40%-59%,1.319669693,103.9102612,1,,
Devonshire 8,"8 Irrawaddy Road, singapore 329564","S$ 850,000
  -
  S$ 4,350,000",null,1.325713038,103.8455089,1,,
Devonshire Residences,"3 Tay Lian Teck Road, singapore 455620",null,<20%,1.312543391,103.9292437,3,,
Diamond Tower,"109C Dorset Road, singapore 219497",null,null,undefined,undefined,0,,
Domus,"331 New Bridge Road, singapore 088764","S$ 1,238,000
  -
  S$ 2,508,000",<20%,1.280045293,103.8403587,1,,
Dong Xing Court,"19B Simei Street 4, singapore 528714","S$ 699,000
  -
  S$ 3,550,000",>80%,1.340715527,103.9565747,1,,
Dorset Court,"14 18 Spottiswoode Park Road, singapore 088641",null,null,undefined,undefined,0,,
Dorsett Residences,"34 Jalan Mutiara, singapore 249209",null,60%-79%,1.29676254,103.8279781,1,,
Double Bay Residences,"50 Draycott Park, singapore 259396",null,<20%,1.311668897,103.8312453,1,,
Dragon Mansion,"8 Joo Chiat Lane, singapore 428094",null,null,1.312006623,103.9010591,1,,
Dragon View Park,"13 - 13D Dublin Road, singapore 239802",null,null,1.298358704,103.8402679,5,,
Draycott Tower,"20 Duchess Road, singapore 268988","S$ 6,000,000
  -
  S$ 6,000,000",null,1.324560204,103.807057,1,,
Dublin Road Flats,"32 Duchess Avenue, singapore 269105","S$ 4,000,000
  -
  S$ 4,000,000",null,1.324203099,103.8061775,1,,
Duchess Manor,"6 Duchess Avenue, singapore 266311",null,20%-39%,1.324363388,103.8009303,1,,
Duchess Royale,"78 Holland Road, singapore 258873","S$ 4,500,000
  -
  S$ 4,750,000",<20%,1.31104187,103.8043815,1,,
Duchess Walk,"25 Duke'S Road, singapore 268906","S$ 4,200,000
  -
  S$ 4,200,000",null,1.321547798,103.8112866,1,,
Duet,"75 Duku Road, singapore 429237",null,20%-39%,1.310705476,103.906124,1,,
Dukes Residences,"71 Duku Road, singapore 429233","S$ 4,280,000
  -
  S$ 4,280,000",null,1.310645728,103.9060291,3,,
Duku Apartments,"386 Dunearn Road, singapore 289599","S$ 1,050,000
  -
  S$ 2,600,000",null,1.32443999,103.8118363,1,,
Duku Court,"386 Dunearn Road, singapore 289599",null,>80%,1.32443999,103.8118363,1,,
Dunearn 386,"16 Dunearn Road, singapore 309420",null,null,undefined,undefined,0,,
Dunearn Court,"404 Dunearn Road, singapore 289609","S$ 1,500,000
  -
  S$ 1,500,000",>80%,1.324733513,103.8107247,1,,
Dunearn Gardens,"515 Dunman Road, singapore 439204","S$ 2,200,000
  -
  S$ 2,200,000",>80%,1.309995999,103.8957613,1,,
Dunearn Suites,"515 Dunman Road, singapore 439204","S$ 2,200,000
  -
  S$ 2,200,000",20%-39%,1.309995999,103.8957613,1,,
Dunman Place,"348 Dunman Road, singapore 329778","S$ 1,398,000
  -
  S$ 1,500,000",40%-59%,1.325329778,103.8524117,1,,
Dunman Place,"5 Lorong 39 Geylang, singapore 387866","S$ 850,000
  -
  S$ 950,000",40%-59%,1.315541079,103.8904583,1,,
Dunman Regency,"271 - 291 Sixth Avenue, singapore 276562",null,<20%,1.323325942,103.7920458,3,,
Dynasty Garden Court 2,"265-265B Sixth Avenue, singapore 276559",null,null,1.323824294,103.7924066,3,,
Dynasty Lodge,"12 Robey Crescent, singapore 546290",null,>80%,1.36832364,103.8821663,1,,
East Bay Gardens,"87 Lorong G Telok Kurau, singapore 426277","S$ 1,499,999
  -
  S$ 1,499,999",60%-79%,1.31814998,103.9121894,1,,
East Coast Residences,"412 Upper East Coast Road, singapore 466488","S$ 899,999
  -
  S$ 1,420,000",<20%,1.314167947,103.9397322,1,,
East Coast Ville,"320 Upper East Coast, singapore 466455",null,null,1.313600062,103.9375534,1,,
East Grove,"414A East Coast Road, singapore 429002",null,>80%,1.308806399,103.9127611,4,,
East Mews,"853 Mountbatten Road, singapore 437838",null,20%-39%,1.303197024,103.8992673,1,,
East Palm,"1 Palm Road, singapore 456448",null,40%-59%,1.31346565,103.9314266,1,,
East Signature,"1A Elliot Walk, singapore 458656",null,40%-59%,1.312255053,103.9317723,1,,
East Signature,"1A Elliot Walk, singapore 458656",null,40%-59%,1.312255053,103.9317723,1,,
East Treasure,"36 Telok Kurau Lorong N, singapore 425160",null,40%-59%,1.309451025,103.9107884,1,,
East Village,"430 Upper Changi Road, singapore 487048","S$ 688,000
  -
  S$ 1,800,000",20%-39%,1.331775815,103.9462012,1,,
East Ville,"43 Joo Chiat Lane, singapore 428103","S$ 1,600,000
  -
  S$ 1,600,000",null,1.312674187,103.9031311,16,,
Eastbay,"1 Tay Lian Teck Road, singapore 455615","S$ 1,400,000
  -
  S$ 1,900,000",20%-39%,1.312878569,103.9292592,1,,
Eastern Lodge,"380 Sims Avenue, singapore 387531",null,null,1.315333478,103.8852234,5,,
Eastern Residence,"285 Joo Chiat Place, singapore 427966",null,40%-59%,1.314947209,103.9076321,1,,
Eastside Loft,"150 Tanjong Katong Road, singapore 437154",null,40%-59%,1.310695209,103.8938299,1,,
Eastwind Mansions,"102 Joo Chiat Terrace, singapore 427256",null,>80%,1.314272996,103.902372,1,,
Eastwood Regency,"40 Eastwood Road, singapore 486397","S$ 670,000
  -
  S$ 890,000",20%-39%,1.321126635,103.9575206,1,,
Eber Gardens,"1 - 15 Eber Road, singapore 239756",null,60%-79%,1.298748657,103.8403152,2,,
Ebony Mansions,"30 Lorong M Telok Kurau, singapore 425312","S$ 980,000
  -
  S$ 980,000",60%-79%,1.310127005,103.9104016,1,,
Echelon,"7 Alexandra View, singapore 158741","S$ 940,000
  -
  S$ 6,500,000",<20%,1.29082513,103.8183315,1,,
eCO,"263 Bedok South Avenue 3, singapore 465263","S$ 728,000
  -
  S$ 5,200,000",<20%,undefined,undefined,0,,
Eco Sanctuary,"61 Chestnut Avenue, singapore 679522",null,<20%,1.371209107,103.7768547,1,,
Eden Crest,"14 Eden Grove, singapore 539068",null,40%-59%,1.3451064,103.8720678,1,,
Eden Residences Capitol,"11 Stamford Road, singapore 178884","S$ 5,688,000
  -
  S$ 26,742,450",<20%,1.292987754,103.8510468,1,,
Eden Spring,"11c Balmoal Road, singapore 259798",null,null,1.314836293,103.8315785,1,,
Eden View,"6 Eden Grove, singapore 539057",null,20%-39%,undefined,undefined,0,,
Edenvale,"372 Pasir Panjang Road, singapore 118709",null,null,1.291020313,103.7740571,1,,
Eight Courtyards,"12 Canberra Drive, singapore 768094","S$ 610,000
  -
  S$ 1,360,000",<20%,1.438962789,103.831365,1,,
Eight Riversuites,"2 Whampoa East, singapore 338517","S$ 738,000
  -
  S$ 2,980,000",<20%,1.321820407,103.8647441,1,,
Eight@18Fort,"18 Fort Road, singapore 439107",null,null,1.299214863,103.8857911,1,,
EiS Residences,"4 Haig Avenue, singapore 438859","S$ 700,000
  -
  S$ 1,200,000",<20%,1.307653071,103.89949,1,,
Elizabeth Heights,"57 Cairnhill Road, singapore 229668","S$ 5,500,000
  -
  S$ 5,900,000",>80%,1.307525584,103.8364879,1,,
Elizabeth Regency,"22 Mount Elizabeth, singapore 228517",null,null,1.307751534,103.8357483,1,,
Elizabeth Tower,"12 Mount Elizabeth, singapore 228511",null,>80%,1.305873226,103.836359,1,,
Elliot at the East Coast,"1 Elliot Road, singapore 458686","S$ 3,500,000
  -
  S$ 3,500,000",<20%,1.311205919,103.9301209,2,,
Elmira Heights,"5 7 Newton Road, singapore 307944",null,null,undefined,undefined,0,,
Emerald Garden,"33 Club Street, singapore 069415","S$ 2,080,000
  -
  S$ 3,318,000",40%-59%,1.281548629,103.8464726,1,,
Emprado Suites,"93 Lorong N Telok Kurau, singapore 425244",null,20%-39%,1.310876317,103.9154851,1,,
En Fu Mansions,"25 Lorong 33 Geylang, singapore 387985",null,null,1.315316984,103.8875441,1,,
Eng Kong Green,"51 Eng Kong Terrace, singapore 599043","S$ 1,330,000
  -
  S$ 1,330,000",null,1.336384686,103.7693313,1,,
Envio,"281 Joo Chiat Place, singapore 427962","S$ 900,000
  -
  S$ 2,300,000",20%-39%,1.314882723,103.9075033,1,,
Eon Shenton,"70 Shenton Way, singapore 079118","S$ 1,200,000
  -
  S$ 2,980,000",null,1.273886604,103.8462355,1,,
Equity Heights,"3 Mount Sophia Road, singapore 228450",null,null,1.302141988,103.8463731,1,,
Espa,"10 Cashew Road, singapore 679392","S$ 1,400,000
  -
  S$ 3,000,000",null,1.372963767,103.7708158,1,,
Espada,"48 Saint Thomas Walk, singapore 238126","S$ 938,800
  -
  S$ 3,088,888",<20%,1.297341971,103.8367416,1,,
Espira Suites,"99A Lorong H Telok Kurau, singapore 426121","S$ 1,388,000
  -
  S$ 1,388,000",20%-39%,1.317058766,103.912857,1,,
Esta Ruby,"500 Guillimard Road, singapore 399839","S$ 1,950,000
  -
  S$ 1,950,000",<20%,1.313900065,103.8936172,1,,
Esterina,"12 Haig Avenue, singapore 438867",null,20%-39%,1.30776732,103.8998807,1,,
Eton Court,"47 Lorong N Telok Kurau, singapore 425171",null,40%-59%,1.310054931,103.9113356,1,,
Euhabitat,"332 Jalan Eunos, singapore 415816","S$ 660,000
  -
  S$ 4,500,000",<20%,1.328212423,103.9070861,1,,
Eunos Green,"10 Sims Avenue East, singapore 416558",null,60%-79%,1.318692888,103.9057495,1,,
Eunos Park,"5 Kampong Eunos, singapore 417771",null,60%-79%,1.318463907,103.9060768,1,,
Eunos Park,"5 Kampong Eunos, singapore 417771",null,60%-79%,1.318463907,103.9060768,1,,
Euro-Asia Park,"25 Woodleigh Close, singapore 357920",null,60%-79%,1.336381475,103.8676872,1,,
Evergreen Residences,"43 Lor 22 Geylang, singapore 398698",null,null,1.311051176,103.8824619,1,,
Evergreen View,"15 Lorong 36 Geylang, singapore 398150",null,20%-39%,1.313526578,103.8885477,1,,
Everitt Edge,"83 Joo Chiat Place, singapore 427800","S$ 780,000
  -
  S$ 1,150,000",<20%,1.313760622,103.9017629,1,,
Everitt Green,"9 Everitt Road North, singapore 428522",null,40%-59%,1.31620465,103.9018617,1,,
Evian Condominium,"277 Holland Road, singapore 278619",null,null,1.317262833,103.7872182,1,,
Ewe Boon Regent,"31 Ewe Boon Road, singapore 259332","S$ 1,700,000
  -
  S$ 1,700,000",60%-79%,1.316490115,103.8304733,1,,
Faber Garden Condominium,"9 Jalan Rebana, singapore 576988",null,>80%,1.363504263,103.8285313,2,,
Fairlodge,"108 Holland Road, singapore 278551",null,60%-79%,1.311788084,103.8014942,1,,
Fairmount Condo,"30 Eastwood Road, singapore 486365","S$ 1,650,000
  -
  S$ 1,650,000",null,1.320988419,103.9558821,1,,
Fairways,"610 Telok Blangah Road, singapore 109025",null,null,1.272476943,103.8078175,1,,
Fairwood Park,"7 Wajek Walk, singapore 588089",null,null,1.339499566,103.7814777,1,,
Familie Mansions,"65 Lorong 8 Geylang, singapore 399125",null,>80%,1.309836692,103.8775032,1,,
Farrer Park Suites,"80 Owen Road, singapore 218896","S$ 888,000
  -
  S$ 888,000",20%-39%,1.313297683,103.8536334,1,,
Fernhill Court Condo,"60 Fernhill Road, singapore 259117",null,null,1.313797594,103.823387,1,,
Fernhill Grove,"27C Fernhill Road, singapore 259089",null,null,undefined,undefined,0,,
Fernhill Place,"5 Fernhill Road, singapore 259051",null,null,undefined,undefined,0,,
Ferra,"1 Leonie Hill, singapore 239219",null,null,1.299307886,103.8323999,1,,
Ferraria Park Condo,"8 Flora Drive, singapore 506941","S$ 730,000
  -
  S$ 2,100,000",null,1.357364205,103.963972,1,,
Ferrell Residences,"327 Bukit Timah Road, singapore 259715","S$ 2,600,000
  -
  S$ 3,800,000",20%-39%,1.317699237,103.8323402,1,,
Fifteen Robin,"15 Robin Road, singapore 258196",null,null,1.318013782,103.8286498,1,,
Fifth Avenue Condo,"2 Fifth Avenue, singapore 268800",null,null,1.329905575,103.7958225,1,,
Fifth Avenue Condominium,"2 Fifth Avenue, singapore 268800",null,60%-79%,1.329905575,103.7958225,1,,
Finland Gardens,"54 East Coast Terrace, singapore 458949",null,>80%,1.310983355,103.9243085,1,,
Fiorenza,"42 Florence Road, singapore 549576","S$ 1,149,999
  -
  S$ 1,190,000",20%-39%,1.363622569,103.8859793,1,,
Five Nine,"59 Lor K Teluk Kurau, singapore 425669",null,null,1.312873467,103.9097446,1,,
Flamingo Valley,"478 Siglap Road, singapore 454852","S$ 858,000
  -
  S$ 3,880,000",<20%,1.318611071,103.922559,1,,
FLO Residence,"0 Punggol Field Walk, singapore 820000","S$ 850,000
  -
  S$ 1,900,000",<20%,undefined,undefined,0,,
Flora East,"233 - 245C Joo Chiat Place, singapore 427928","S$ 1,738,888
  -
  S$ 1,738,888",>80%,1.314278372,103.9058389,5,,
Floridian,"977 Bukit Timah Road, singapore 589626","S$ 1,930,000
  -
  S$ 5,300,000",<20%,1.332576009,103.7858273,1,,
Florissa Park,"31 Lentor loop, singapore 789088",null,null,1.386414954,103.8363894,1,,
Flynn Park,"18 Yew Siang Road, singapore 117755",null,>80%,1.278095731,103.7934089,1,,
Foh Pin Mansion,"7 Charlton Road, singapore 539557",null,null,1.356105219,103.8811582,1,,
Fontaine Parry,"0 Poh Huat Road West, singapore 540000","S$ 1,328,000
  -
  S$ 2,500,000",<20%,undefined,undefined,0,,
Fontana Heights,"39 Mount Sinai Road, singapore 276957","S$ 7,900,000
  -
  S$ 8,800,000",>80%,1.315369555,103.7769426,1,,
Foresque Residences,"101 Petir Road, singapore 678272","S$ 658,000
  -
  S$ 2,358,888",<20%,1.368773589,103.7760597,1,,
Forest Hills Condo,"31 Transit Road, singapore 778893","S$ 1,088,888
  -
  S$ 1,700,000",null,1.405114329,103.8174253,1,,
Forest Woods,", singapore 533852",null,null,1.351513638,103.876952,1,,
Forett at Bukit Timah,"32 Toh Tuck Road, singapore 596710","S$ 800,000
  -
  S$ 4,046,000",null,1.339908539,103.7675232,1,,
Fort Gardens,"21 Fort Road, singapore 439089","S$ 2,500,000
  -
  S$ 2,500,000",60%-79%,1.299138573,103.884876,1,,
Forte Suites,"88 Mergui Road, singapore 219062","S$ 980,000
  -
  S$ 1,680,000",<20%,1.317827996,103.8519705,1,,
Fortune Spring,"7 Palm Road, singapore 456442",null,40%-59%,1.312682824,103.9313714,1,,
Fortville,"19 Fort Road, singapore 439088",null,null,1.299659309,103.8849492,1,,
Fourth Avenue Residences,"2 Fourth Avenue, singapore 268660","S$ 944,000
  -
  S$ 4,596,000",null,1.329712565,103.7969961,1,,
Fragrance Court,"12 Yew Siang Road, singapore 117752",null,60%-79%,1.277285588,103.7931222,1,,
Fragrant Gardens,"357 Upper Paya Lebar Road, singapore 534959",null,>80%,1.347107413,103.8799756,1,,
Fruition,"3 Mangis Road, singapore 424981",null,20%-39%,1.314315809,103.9036635,1,,
Fulcrum,"33 Fort Road, singapore 439092","S$ 920,000
  -
  S$ 2,400,000",<20%,1.298688314,103.8848534,1,,
Fyve Derbyshire,"5 Derbyshire Road, singapore 309461","S$ 1,338,000
  -
  S$ 2,553,870",null,1.316277368,103.845724,1,,
G Residences,"50 Lorong G Telok Kurau, singapore 426233",null,<20%,1.31679823,103.9099163,1,,
Gaia,"33 Jalan Dusun, singapore 329371","S$ 1,400,000
  -
  S$ 1,400,000",<20%,1.327845109,103.8437094,1,,
Gallery Fifteen,"31 Jalan Dusun, singapore 329370","S$ 3,100,000
  -
  S$ 3,100,000",40%-59%,1.327561401,103.8437055,1,,
Gallop Green,"13 Woollerton Park, singapore 257534",null,40%-59%,1.315371637,103.8084301,1,,
Gambir Ridge (Formerly Bartley Terrace,"16 Gambir Walk, singapore 538976","S$ 888,000
  -
  S$ 1,999,999",null,1.34439428,103.8754238,1,,
Gardenia Court,"38 Jalan Mata Ayer, singapore 759121",null,null,undefined,undefined,0,,
Gardenville,"10 Walshe Road, singapore 257654","S$ 4,388,000
  -
  S$ 4,388,000",60%-79%,1.312461731,103.8273029,1,,
Garlick Park,"108 Sixth Avenue, singapore 276501",null,null,1.327903632,103.7933978,1,,
Gem Residences,"1 Lorong 5 Toa Payoh, singapore 319458",null,null,1.338748118,103.8508819,1,,
Gentle Reflections,"41 Gentle Road, singapore 309159",null,null,1.319281346,103.8387129,1,,
Geylang Heritage,"26 Lorong 34 Geylang, singapore 398223",null,60%-79%,1.313021424,103.8875214,3,,
Gideon's Lodge,"47B Joo Chiat Lane, singapore 428105",null,>80%,1.312904269,103.9035491,3,,
Giffard Mansions,"424 Balestier Road, singapore 329810","S$ 1,799,999
  -
  S$ 1,799,999",>80%,1.326197178,103.8491007,1,,
Gilstead Court,"50 Gilstead Road, singapore 309094","S$ 2,850,000
  -
  S$ 3,100,000",>80%,1.318058341,103.8396175,16,,
Gilstead Mansion,"57 Gilstead Road, singapore 309101",null,>80%,1.319206173,103.8401729,8,,
Glasgow Green,"16 Leith Road, singapore 547921",null,null,1.362090282,103.8754022,1,,
Glasgow Residences,"23 Glasgow Road, singapore 549338","S$ 600,000
  -
  S$ 1,650,000",null,1.361899214,103.8786128,1,,
Global Ville,"20 Jalan Raja Udang, singapore 329192","S$ 1,800,000
  -
  S$ 1,800,000",40%-59%,1.327516688,103.8426038,1,,
Gloria Mansion,"292 Pasir Panjang Road, singapore 118633",null,>80%,1.286880288,103.7804241,1,,
Gloucester Mansions,"10 Newton Road, singapore 307947",null,60%-79%,1.313693156,103.8403875,1,,
Gold Coast Condo,"360 Pasir Panjang Road, singapore 118699","S$ 1,990,000
  -
  S$ 2,500,000",null,1.290546921,103.774606,1,,
